latitude,longitude
-6.015263047805961,-35.192091700797654
-6.015262770798632,-35.192091818099364
-6.015263118593702,-35.19208854917801
-6.015263255194804,-35.19208636982083
-6.015263542231034,-35.192085854431525
-6.015264101784227,-35.19208451227566
-6.015264475001917,-35.19208293506968
-6.015265258793961,-35.19208080951233
-6.015266318343688,-35.19207838120277
-6.015267776472127,-35.19207570014527
-6.015269442296646,-35.192073209928964
-6.015271474430167,-35.19207047799268
-6.015273616203092,-35.19206791833528
-6.015276039487387,-35.19206544380027
-6.01527867932679,-35.19206304870034
-6.015281432042804,-35.192060818866224
-6.015284371400404,-35.19205866899606
-6.015287408877432,-35.19205667304607
-6.0152905505384915,-35.192054813019666
-6.015293706539896,-35.19205314171788
-6.0152969966310454,-35.19205154110084
-6.015300225975709,-35.1920501377959
-6.015303563398513,-35.19204881791154
-6.015306842100813,-35.19204764842521
-6.015310165587138,-35.192046571834034
-6.01531346414386,-35.19204560110528
-6.015316769283278,-35.192044712572766
-6.015320000026725,-35.19204392353216
-6.0153232618435295,-35.19204319955568
-6.015326495067183,-35.19204254561791
-6.015329679088038,-35.19204197125081
-6.015332857864665,-35.192041446482776
-6.015335968676566,-35.19204099372941
-6.015339066909872,-35.19204058222124
-6.015342130864959,-35.19204022044044
-6.015345177355523,-35.19203989098241
-6.015348157784851,-35.19203960531513
-6.015351150082623,-35.19203934183864
-6.015354069613395,-35.19203911633705
-6.015357004563004,-35.19203891437797
-6.015359887568516,-35.19203874277618
-6.015362762639685,-35.19203860103615
-6.015365595733733,-35.19203848275729
-6.015368436915016,-35.192038388794764
-6.01537124001432,-35.19203831192226
-6.015374002557344,-35.19203825387865
-6.015376766243513,-35.19203820783502
-6.015379500411762,-35.19203818084639
-6.015382227062301,-35.19203815639233
-6.015384903678018,-35.19203814587686
-6.015387592626978,-35.1920381436736
-6.015390241148056,-35.192038152332145
-6.015392900313088,-35.19203817097877
-6.015395540265025,-35.19203819631026
-6.015398178321237,-35.19203823143669
-6.015400780363341,-35.19203828005988
-6.015403369565138,-35.192038341132815
-6.015405951401872,-35.192038410089566
-6.015408507569479,-35.19203849442682
-6.015411069076744,-35.19203858054879
-6.0154136169154375,-35.19203867575812
-6.01541614357285,-35.19203877069433
-6.015418673553689,-35.19203886656283
-6.015421208049102,-35.19203894627479
-6.015423719229924,-35.19203902773289
-6.015426226024774,-35.19203911421312
-6.015428700659513,-35.19203921195631
-6.015431190042305,-35.192039317333354
-6.015433653506858,-35.192039433920854
-6.01543613039025,-35.19203956705894
-6.015438570250489,-35.19203970607733
-6.015441025729432,-35.192039846897956
-6.015443485020068,-35.19203998133105
-6.015445931037448,-35.1920401128
-6.015448365422731,-35.192040237948305
-6.015450797356148,-35.19204036058814
-6.01545324075604,-35.192040476546914
-6.015455668115557,-35.19204059966527
-6.01545809903307,-35.19204072745316
-6.0154605004564585,-35.19204086638083
-6.015462925558647,-35.19204101278626
-6.015465305617701,-35.192041163849495
-6.015467708233271,-35.192041319056905
-6.015470094601328,-35.19204147131752
-6.015472500887924,-35.1920416239671
-6.015474878157922,-35.19204177106162
-6.01547726884614,-35.19204191789169
-6.015479658565012,-35.192042060228594
-6.015482054628005,-35.19204220613589
-6.015484443159116,-35.19204235167311
-6.015486814440692,-35.19204250210542
-6.015489198924674,-35.19204265248594
-6.015491558346813,-35.192042807623324
-6.015493941086396,-35.19204296505059
-6.015496284989187,-35.19204312113468
-6.015498647953169,-35.192043278533276
-6.015500998436714,-35.19204343592638
-6.015503362180874,-35.19204359433059
-6.015505726524718,-35.19204375180611
-6.0155080880658325,-35.19204391021367
-6.0155104477761645,-35.19204406635423
-6.015512791838172,-35.19204422447868
-6.015515163716169,-35.192044383687445
-6.015517502152556,-35.192044544258714
-6.0155198554215215,-35.19204470561397
-6.0155221957910205,-35.19204487005229
-6.01552455418635,-35.19204503469371
-6.015526873353705,-35.192045198485836
-6.0155292168042545,-35.19204536050877
-6.015531545685836,-35.192045518740635
-6.015533888795726,-35.19204567478878
-6.015536223875803,-35.19204583024596
