x,y
18.99939388355,20.00110403035
18.99925191305,20.0014392929
19.0032082954,20.0010183558
19.00584597595,20.0008530272
19.0064697527,20.00050562665
19.00809416675,19.99982839825
19.01000306245,19.9993766921
19.01257562895,19.998428066949998
19.015514617100003,19.997145691700002
19.018759506600002,19.9953809158
19.0217734206,19.9933647649
19.0250798888,19.99090526945
19.0281778475,19.9883130772
19.0311727824,19.985380171150002
19.03407157685,19.982185168
19.03677034975,19.97885355005
19.039372342100002,19.9752960394
19.04178804455,19.9716197746
19.0440392384,19.96781741565
19.04606201845,19.96399770055
19.0479992486,19.96001569635
19.049697671500002,19.95610721375
19.051295130299998,19.95206792395
19.05271056205,19.9480997037
19.0540135626,19.94407728125
19.055188437650003,19.94008503115
19.0562638304,19.936084814
19.0572188079,19.93217463845
19.05809503815,19.928226854749997
19.0588865004,19.9243136774
19.0595816581,19.9204600503
19.06021678595,19.9166127703
19.060764754300003,19.91284774815
19.0612628035,19.9090979499
19.061700667550003,19.90538963865
19.0620994113,19.90170246475
19.062445155,19.8980952449
19.06276404115,19.89447366065
19.0630369662,19.89094014645
19.063281397700006,19.8873879708
19.0634890877,19.8838986632
19.06366063595,19.880418958550006
19.0638037891,19.876990058900002
19.06391751215,19.87355137125
19.064010551099997,19.870158774300002
19.0640808014,19.8668152627
19.0641365281,19.86347036755
19.0641691925,19.860161198
19.0641987893,19.856861127149998
19.0642115162,19.85362161355
19.0642141828,19.850367173
19.06420370335,19.8471616624
19.0641811353,19.8439432694
19.06415047655,19.840748130050002
19.06410796295,19.8375552851
19.0640491142,19.8344060281
19.0639751975,19.83127231175
19.063891739000002,19.82814750935
19.063789665450003,19.82505377435
19.06368543185,19.82195357675
19.0635701998,19.81886992225
19.0634552983,19.8158119035
19.06333926845,19.8127498624
19.0632427929,19.8096823573
19.063144204,19.8066430699
19.0630395368,19.80360909085
19.062921238,19.80061403525
19.06279369995,19.79760113005
19.06265259385,19.79461959375
19.06249145655,19.7916218166
19.0623232023,19.78866884865
19.0621527668,19.78569697735
19.06199006215,19.782720492750002
19.061830945,19.7797600728
19.06167947775,19.776813731199997
19.0615310465,19.7738703571
19.06139070135,19.7709131051
19.061241690950002,19.7679752668
19.061087029,19.76503312225
19.06091888455,19.762126674500003
19.06074168975,19.75919156825
19.0605588576,19.7563109778
19.06037100975,19.753403087149998
19.060186728399998,19.750514860899997
19.0600019763,19.7476025272
19.0598239475,19.74472531235
19.05964623875,19.7418318574
19.0594739681,19.73893957565
19.0592973762,19.7360396156
19.0591212322,19.7331487714
19.058939163650006,19.73027880435
19.0587571578,19.7273928584
19.0585693947,19.724537244849998
19.05837886015,19.72165341015
19.05818995125,19.7188165797
19.0579994514,19.71595667945
19.0578089582,19.7131118843
19.05761724125,19.7102510398
19.057426648299998,19.7073894695
19.0572349273,19.70453129135
19.05704595005,19.701675329
19.0568545717,19.69883830585
19.056661881,19.69596761695
19.05646754125,19.6931374025
19.05627225265,19.69028923615
19.0560732326,19.687456682049998
19.05587396675,19.68460231125
19.0556757288,19.68179541815
19.0554796321,19.67895913505
19.05528812375,19.6761404848
19.05509925835,19.673304614
19.0549111082,19.6704784617
19.0547208275,19.6676407693
19.054527788199998,19.6648068895
19.05432754665,19.66196928945
19.05411928995,19.65912119145
19.0539013279,19.656289144949998
19.0536866973,19.6534763502
19.0534736878,19.650659867599998
19.0532687974,19.6478382285
19.053073282950002,19.6450327475
19.05289196175,19.64221572875
19.0527167342,19.6394078223
19.052540414,19.636579226
19.0523514535,19.6337498604
19.05215026375,19.63091997665
19.051935666800002,19.62810258255
19.0517131655,19.6252868065
19.051487308800002,19.6224679143
19.05125287935,19.6196522334
19.0510337589,19.61684605645
19.05083288215,19.614037867449998
19.0506475549,19.6112125541
19.05046392725,19.6083990108
19.0502890769,19.6055824218
19.050107914949997,19.60277233415
19.0499074433,19.59994879835
19.0496999903,19.5971587993
19.0494831018,19.594339387799998
19.0492655243,19.5915469595
19.0490466451,19.58874597615
19.048827942,19.585932712
19.04861339955,19.58312923945
19.04840443515,19.58031645445
19.04820212695,19.57749319185
19.0480053931,19.574698261400002
19.0478076371,19.57186273195
19.0476127835,19.569067200200006
19.0474162476,19.5662670746
19.04721529365,19.56344571565
19.04701350005,19.56064228755
19.046806723150002,19.557845531199998
19.04659772865,19.5550523276
19.0463821726,19.55225559805
19.04616067025,19.54943870975
19.0459409495,19.546654106800002
19.045724719149998,19.54384566875
19.04551021195,19.54104964265
19.0452993959,19.53822318785
19.04510081255,19.5354381053
19.04490665335,19.532614554749998
19.04471542155,19.5298282656
19.0445204121,19.52702506535
19.044320388800003,19.524213617850002
19.044114617650003,19.52143237175
