latitude,longitude
-6.02582529368547,-35.2017566383904
-6.025813310063395,-35.20174841885549
-6.025801614631866,-35.20174027682021
-6.025789748179612,-35.20173206168089
-6.025777865621743,-35.20172391630708
-6.025765811015885,-35.201715673594826
-6.025753931275379,-35.201707469509046
-6.0257421486856435,-35.20169925785581
-6.025730131293404,-35.201690910724764
-6.025717914429098,-35.20168243218274
-6.025706181968912,-35.20167421897927
-6.0256943143412665,-35.20166577638381
-6.025682662597689,-35.201657451239925
-6.025670691545236,-35.20164890542801
-6.025658911164667,-35.201640488357384
-6.025647315746499,-35.20163213529754
-6.025635612561831,-35.20162365885595
-6.025624048519135,-35.20161530772187
-6.0256123109664355,-35.201606852994104
-6.0256006388967265,-35.20159842319556
-6.025588899983771,-35.20158986005706
-6.0255772221181205,-35.201581299781445
-6.025565811237781,-35.20157290466569
-6.025554120242929,-35.20156426854473
-6.025542711463916,-35.2015557460802
-6.025531129911988,-35.20154701929634
-6.025519605856664,-35.20153830156593
-6.025508056145167,-35.20152955325624
-6.025496840011148,-35.20152102926423
-6.025485492003657,-35.20151234988417
-6.025474371576389,-35.20150382391814
-6.025462985881348,-35.20149508277174
-6.025451432046467,-35.20148619597416
-6.0254401543229,-35.20147745138805
-6.025428907906243,-35.20146866351271
-6.025417649977238,-35.201459803000866
-6.025406262228363,-35.20145079584361
-6.025395179222066,-35.201441961634174
-6.025384040496308,-35.201433003971374
-6.0253729193724705,-35.20142400365218
-6.0253619297116785,-35.20141507160312
-6.02535104629342,-35.20140620121219
-6.0253397042666,-35.20139689781354
-6.025328784832194,-35.20138781442768
-6.0253178080496745,-35.20137877741687
-6.025306532881089,-35.201369654216975
-6.0252953510212075,-35.20136054669271
-6.0252840457409995,-35.20135117180641
-6.025272925310211,-35.20134191945326
-6.025261639146932,-35.20133264319568
-6.025250530193362,-35.20132356234897
-6.025239433966036,-35.20131436807856
-6.0252284892523855,-35.20130516521598
-6.0252176479829265,-35.20129608966814
-6.0252063806978935,-35.20128682997093
-6.0251953120186315,-35.20127778492481
-6.0251844227418685,-35.201268788425
-6.0251734606108975,-35.201259666204336
-6.025162578037155,-35.20125067125543
-6.02515163824517,-35.20124163988151
-6.02514074382417,-35.20123252575381
-6.025129953517029,-35.20122337700293
-6.025118930084569,-35.20121407022015
-6.025108077781435,-35.201205001251786
-6.025097139453298,-35.20119583396198
-6.025086254092715,-35.20118661094966
-6.025075243401322,-35.201177244393875
-6.025064189254564,-35.20116792615388
-6.025053115390101,-35.20115864075882
-6.025041865120175,-35.20114912562467
-6.025031091433777,-35.20113990900996
-6.025020207908636,-35.20113059763732
-6.025009140548053,-35.20112116948228
-6.02499820058287,-35.2011118054005
-6.0249871054093145,-35.20110219593523
-6.024976146373686,-35.20109265060217
-6.024965330522674,-35.2010832652314
-6.024954617368222,-35.20107399012469
-6.024943816682084,-35.20106459565417
-6.024932787367739,-35.20105494055275
-6.024922124405415,-35.20104561197325
-6.024911389148315,-35.2010362559665
-6.024900774382158,-35.20102698365047
-6.024889830054329,-35.201017340320526
-6.024879185324975,-35.201007895377415
-6.024868235706318,-35.200998164186664
-6.0248577675040815,-35.20098884269116
-6.02484680622784,-35.20097902211395
-6.024836190741251,-35.20096944602528
-6.024825581966524,-35.20095985637058
-6.024815072743718,-35.2009503634332
-6.024804511103438,-35.20094082189903
-6.024794015032341,-35.20093130769981
-6.02478328408086,-35.200921540070055
-6.024772409027538,-35.20091161775305
-6.0247618628421264,-35.20090197220751
-6.024751137503443,-35.200892116498444
-6.024740608297858,-35.20088236733249
-6.0247298046533855,-35.20087230197403
-6.024719434433678,-35.20086260622859
-6.024708865584189,-35.2008526985033
-6.02469796539192,-35.20084243649352
-6.024687587532665,-35.200832623419906
-6.024677311158834,-35.20082288465147
-6.024666887923471,-35.2008130079727
-6.024656156604495,-35.20080281414545
-6.024645512075024,-35.20079264015947
-6.024635059386766,-35.20078258972651
-6.024624779114701,-35.20077265846534
-6.024614587520266,-35.20076278209057
-6.024604339716326,-35.200752773219854
-6.024594232880053,-35.200742827547096
-6.024584311315077,-35.2007330155949
-6.024574564474809,-35.20072120285195
-6.0245659201517805,-35.200714282701405
-6.024554109301464,-35.20070618437698
-6.024546494274351,-35.20069582869999
-6.024538841482999,-35.20068468145722
-6.0245289914826845,-35.20067295736068
-6.024519457095112,-35.20066270309259
-6.024510116293025,-35.2006515562288
-6.0245013825171565,-35.20063983505771
-6.024492917984928,-35.20062813094995
-6.024483792387162,-35.20061624316249
-6.024474782398666,-35.200604486047624
-6.0244665563136826,-35.20059286375226
-6.024458211939339,-35.20058013022756
-6.0244501543487505,-35.20056835619199
-6.024441523597012,-35.20055653850595
-6.024432768937167,-35.200544365053055
-6.024424840787635,-35.200532672735115
-6.024416427597034,-35.20052020366379
-6.024407747929144,-35.20050811487909
