latitude,longitude
-6.02590791768547,-35.2018392623904
-6.025895934063395,-35.20183104285548
-6.025884238631866,-35.20182290082021
-6.025872372179612,-35.20181468568089
-6.025860489621743,-35.201806540307075
-6.025848435015885,-35.20179829759483
-6.025836555275379,-35.20179009350904
-6.0258247726856435,-35.20178188185581
-6.025812755293404,-35.201773534724765
-6.025800538429098,-35.201765056182744
-6.025788805968912,-35.20175684297927
-6.0257769383412665,-35.20174840038381
-6.025765286597689,-35.201740075239925
-6.025753315545236,-35.201731529428
-6.025741535164667,-35.20172311235738
-6.025729939746499,-35.20171475929754
-6.025718236561831,-35.20170628285595
-6.025706672519135,-35.201697931721874
-6.0256949349664355,-35.201689476994105
-6.0256832628967265,-35.201681047195564
-6.025671523983771,-35.20167248405706
-6.0256598461181206,-35.201663923781446
-6.025648435237781,-35.20165552866569
-6.025636744242929,-35.20164689254473
-6.025625335463916,-35.201638370080204
-6.025613753911988,-35.20162964329634
-6.025602229856664,-35.20162092556593
-6.025590680145167,-35.201612177256244
-6.025579464011148,-35.20160365326423
-6.025568116003657,-35.20159497388417
-6.025556995576389,-35.20158644791813
-6.025545609881348,-35.201577706771744
-6.025534056046467,-35.20156881997416
-6.0255227783229,-35.201560075388045
-6.025511531906243,-35.20155128751271
-6.025500273977238,-35.20154242700086
-6.025488886228363,-35.201533419843614
-6.025477803222066,-35.20152458563417
-6.025466664496308,-35.201515627971375
-6.025455543372471,-35.20150662765218
-6.0254445537116785,-35.201497695603116
-6.02543367029342,-35.20148882521219
-6.0254223282666,-35.20147952181354
-6.025411408832194,-35.20147043842768
-6.025400432049675,-35.20146140141687
-6.025389156881088,-35.20145227821697
-6.0253779750212075,-35.20144317069271
-6.0253666697409995,-35.20143379580641
-6.025355549310211,-35.201424543453264
-6.025344263146932,-35.20141526719568
-6.025333154193362,-35.20140618634897
-6.025322057966036,-35.201396992078564
-6.0253111132523856,-35.20138778921597
-6.0253002719829265,-35.20137871366814
-6.0252890046978935,-35.20136945397093
-6.025277936018631,-35.201360408924806
-6.0252670467418685,-35.201351412425
-6.025256084610898,-35.20134229020434
-6.025245202037155,-35.201333295255424
-6.02523426224517,-35.20132426388151
-6.02522336782417,-35.2013151497538
-6.025212577517029,-35.201306001002926
-6.025201554084569,-35.201296694220154
-6.025190701781435,-35.20128762525179
-6.025179763453298,-35.20127845796198
-6.025168878092715,-35.20126923494966
-6.025157867401322,-35.201259868393876
-6.0251468132545645,-35.20125055015387
-6.025135739390101,-35.20124126475881
-6.025124489120175,-35.20123174962467
-6.025113715433777,-35.201222533009954
-6.025102831908636,-35.20121322163732
-6.025091764548053,-35.20120379348228
-6.02508082458287,-35.2011944294005
-6.0250697294093145,-35.20118481993523
-6.025058770373686,-35.20117527460217
-6.025047954522674,-35.20116588923139
-6.025037241368222,-35.20115661412469
-6.025026440682084,-35.20114721965417
-6.025015411367738,-35.20113756455275
-6.025004748405415,-35.20112823597325
-6.024994013148315,-35.201118879966494
-6.024983398382158,-35.20110960765047
-6.024972454054329,-35.20109996432053
-6.024961809324975,-35.201090519377416
-6.024950859706318,-35.20108078818666
-6.024940391504082,-35.20107146669116
-6.02492943022784,-35.20106164611395
-6.024918814741251,-35.201052070025284
-6.024908205966524,-35.20104248037058
-6.024897696743718,-35.2010329874332
-6.024887135103438,-35.20102344589903
-6.024876639032341,-35.20101393169981
-6.02486590808086,-35.201004164070056
-6.024855033027538,-35.20099424175305
-6.0248444868421265,-35.20098459620751
-6.024833761503443,-35.200974740498445
-6.024823232297858,-35.20096499133249
-6.0248124286533855,-35.200954925974024
-6.024802058433678,-35.20094523022859
-6.024791489584189,-35.2009353225033
-6.02478058939192,-35.20092506049352
-6.024770211532665,-35.2009152474199
-6.024759935158834,-35.20090550865147
-6.024749511923471,-35.20089563197269
-6.024738780604495,-35.20088543814544
-6.024728136075024,-35.20087526415947
-6.024717683386766,-35.2008652137265
-6.024707403114701,-35.20085528246534
-6.024697211520266,-35.200845406090565
-6.024686963716326,-35.200835397219855
-6.024676856880053,-35.2008254515471
-6.024666935315077,-35.2008156395949
-6.0246571884748095,-35.200803826851946
-6.0246485441517805,-35.2007969067014
-6.024636733301464,-35.200788808376984
-6.024629118274351,-35.20077845269999
-6.024621465482999,-35.20076730545722
-6.0246116154826845,-35.20075558136068
-6.024602081095112,-35.20074532709259
-6.024592740293025,-35.2007341802288
-6.0245840065171565,-35.20072245905771
-6.024575541984927,-35.20071075494995
-6.024566416387162,-35.200698867162494
-6.024557406398666,-35.20068711004762
-6.024549180313683,-35.200675487752264
-6.024540835939339,-35.20066275422756
-6.024532778348751,-35.20065098019198
-6.024524147597012,-35.20063916250595
-6.024515392937167,-35.200626989053056
-6.024507464787635,-35.200615296735116
-6.024499051597033,-35.200602827663786
-6.024490371929144,-35.20059073887909
-6.024481843087945,-35.2005791109424
-6.024473490821191,-35.20056736442288
-6.024465332947061,-35.20055548301254
-6.024457111912552,-35.2005436720455
-6.02444876211852,-35.200531991671525
-6.024440559611517,-35.200520473934674
-6.024432380587727,-35.20050860666532
-6.0244240897608075,-35.20049648406753
-6.0244160047139665,-35.20048496016227
-6.024407588385075,-35.20047319665145
-6.024399285059656,-35.20046154941593
-6.024390613315936,-35.20044920872313
-6.024382033659325,-35.20043713570861
-6.024373694170274,-35.200425622237105
-6.02436519281304,-35.200413925042845
-6.024356780550537,-35.20040214943991
-6.024348610637034,-35.200390608176185
-6.024340159891197,-35.20037875324469
-6.024331784217791,-35.20036711423752
-6.024323439474729,-35.200355483889716
-6.0243151517978335,-35.20034382962035
-6.024306675721065,-35.20033199049164
-6.0242983794873135,-35.20032058151173
-6.024289630624682,-35.2003086999912
-6.02428093840814,-35.20029687344187
-6.024272424802939,-35.200285293002324
-6.024263945345874,-35.20027383015247
-6.024255479783257,-35.20026245950947
-6.024246946605405,-35.20025097320869
-6.0242383513028654,-35.20023931776446
-6.024229624439849,-35.20022744966267
-6.024221068033566,-35.200215856660925
-6.024212524705273,-35.2002043609276
-6.02420380031017,-35.20019264705712
-6.024195088581953,-35.200181010484535
-6.024186427720046,-35.20016954250477
-6.024177787405901,-35.20015823531363
-6.02416894292035,-35.20014676340633
-6.024160085652189,-35.20013530618754
-6.024151199564875,-35.20012377006348
-6.024142353538254,-35.20011226858653
-6.024133583759456,-35.20010091174457
-6.024124893824708,-35.200089646315945
-6.024116207156632,-35.200078322620634
-6.024107612955007,-35.20006710594001
-6.0240986487326715,-35.2000556438819
-6.024089815435369,-35.200044603847964
-6.0240806829102755,-35.200033178336604
-6.0240716814790485,-35.200021842244084
-6.024062818764858,-35.20001073662038
-6.024053637440824,-35.199999371702035
-6.024044663846069,-35.19998829215301
-6.024035690019999,-35.199977124933255
-6.024026655559365,-35.19996583129189
-6.0240177446353265,-35.199954804671535
-6.024008307026071,-35.19994329076375
-6.023999303230871,-35.19993235709185
-6.023990117079365,-35.19992119651461
-6.0239811152396285,-35.19991034288643
-6.023972152782373,-35.19989967701492
-6.023962869046999,-35.19988870540866
-6.023953458263691,-35.19987759247848
-6.0239442669954615,-35.19986674326135
-6.023934935915577,-35.19985580082257
-6.0239256162722405,-35.1998449553527
-6.023916324711167,-35.19983416924675
-6.023907069465853,-35.19982344590877
-6.023897881540393,-35.19981288414639
-6.02388852420845,-35.19980219898341
-6.023879202793987,-35.199791573379905
-6.023869837601016,-35.19978092356047
-6.023860509974929,-35.19977041234758
-6.023850935912633,-35.199759751423166
-6.023841371146942,-35.199749177002104
-6.023831580445873,-35.19973841559921
-6.0238212751468,-35.199727170526906
-6.023811542609854,-35.19971680501721
-6.023801718413264,-35.19970617527291
-6.023792133493431,-35.19969540017108
-6.023782649690964,-35.19968471239462
-6.023772902030819,-35.19967396864239
-6.023763295369703,-35.19966340619809
-6.023753869771332,-35.199652767280725
-6.023744488699086,-35.19964199924751
-6.023734945496705,-35.199631187897474
-6.023725059192843,-35.19962019527597
-6.023715393804406,-35.19960938555987
-6.023705822562612,-35.19959848389526
-6.023696304431774,-35.19958762627322
-6.023686578749828,-35.19957667843987
-6.023677213166474,-35.199566176109116
-6.023667645531169,-35.1995552913971
-6.023658019072913,-35.199544197629336
-6.023648503830461,-35.19953328680995
-6.023638978016764,-35.19952248351278
-6.0236295057572,-35.19951173300101
