latitude,longitude
-6.025899727514759,-35.20183849197777
-6.025887929319233,-35.20183029874397
-6.025875788916152,-35.201821812140174
-6.0258639880083775,-35.20181359980064
-6.025852223621369,-35.20180545326361
-6.025840401396288,-35.20179724088357
-6.0258282188012116,-35.20178873192242
-6.0258165358692555,-35.20178054934493
-6.025804483743391,-35.20177212934668
-6.025792316750485,-35.201763589556876
-6.0257803718494705,-35.20175512438965
-6.0257687445496915,-35.2017468021474
-6.025757192444362,-35.20173850201648
-6.025745431514557,-35.201730036395105
-6.0257336987299235,-35.20172154533386
-6.025721987920779,-35.20171302077745
-6.025710431989611,-35.201704585151305
-6.025698790168812,-35.201696106066876
-6.025687224105398,-35.20168767555847
-6.025675728166377,-35.20167926434724
-6.0256642478720615,-35.201670814694516
-6.0256525070629845,-35.20166214681454
-6.0256410074382885,-35.20165362126664
-6.025629484269752,-35.20164501423055
-6.025618235921231,-35.201636534179165
-6.025606853140007,-35.20162789075649
-6.02559526202693,-35.201619054609175
-6.025583983457011,-35.201610421268896
-6.025572599514409,-35.20160166716892
-6.025561355805804,-35.20159297979132
-6.025550226771924,-35.20158436874982
-6.025538936128541,-35.20157561492699
-6.025527555271912,-35.20156675919706
-6.02551609596862,-35.20155778331913
-6.025504893451896,-35.201548950092295
-6.025493563140913,-35.20153996281155
-6.0254824379758025,-35.201531077018345
-6.025471296507407,-35.20152210586637
-6.025460204631573,-35.201513100092505
-6.02544923874511,-35.20150414560174
-6.025438406095829,-35.201495256360325
-6.025427421584214,-35.201486201579506
-6.0254165627259395,-35.20147719842262
-6.025405370823921,-35.2014678110645
-6.025394431561126,-35.2014586255441
-6.025383220554868,-35.20144943020555
-6.0253721626024985,-35.201440394780114
-6.025360933726785,-35.20143103071595
-6.02534992710631,-35.20142174540844
-6.025338644565747,-35.20141235158703
-6.02532739746237,-35.201403121562905
-6.025316032885659,-35.20139368318635
-6.0253048745481035,-35.20138421315764
-6.025293756765762,-35.20137478304425
-6.025282757461526,-35.2013656528966
-6.0252715499010865,-35.20135644979558
-6.025260732152664,-35.20134746793138
-6.0252494876700045,-35.20133802575894
-6.025238545170959,-35.20132889515426
-6.025227720239585,-35.20131994200196
-6.02521688966301,-35.201310869260105
-6.025205742509919,-35.2013013725053
-6.0251947562258374,-35.2012920279914
-6.025183880683249,-35.2012828840919
-6.025172950014787,-35.20127369156024
-6.025162033011261,-35.20126440390857
-6.025151310401466,-35.2012552304744
-6.025140499072366,-35.20124605294755
-6.025129454458088,-35.20123674377478
-6.025118585739399,-35.2012275317414
-6.025107875845867,-35.20121834765358
-6.02509712949319,-35.20120910728564
-6.025085814413098,-35.20119942099679
-6.0250750492112095,-35.2011901883546
-6.025064171039062,-35.201180756125474
-6.025053441437922,-35.201171372834544
-6.025042600158399,-35.20116191417053
-6.025031903416295,-35.20115261693426
-6.025021006048263,-35.201143117440964
-6.025010047637653,-35.20113349017782
-6.02499930115909,-35.20112404027003
-6.024988375440285,-35.201114475821036
-6.0249776142090745,-35.20110505438614
-6.024966833509601,-35.20109553794341
-6.024956309813979,-35.201086172787555
-6.024945742161761,-35.201076749669475
-6.0249350248769185,-35.20106718430211
-6.024923966422029,-35.201057263134196
-6.024913054468035,-35.2010473920035
-6.024902311757407,-35.20103763916141
-6.02489166370371,-35.20102798787372
-6.024881168765636,-35.20101847844567
-6.0248707419653105,-35.20100899182878
-6.02485987391928,-35.20099905987718
-6.024849427608537,-35.200989500708445
-6.024838836592533,-35.20097979637937
-6.024828225599665,-35.20097002002138
-6.024817660631174,-35.20096020687187
-6.024807022827099,-35.200950273390546
-6.02479619899636,-35.200940136879844
-6.024785906073752,-35.20093045917407
-6.024775583720458,-35.20092069732332
-6.024765231186814,-35.20091086937267
-6.0247547151606495,-35.2009008891159
-6.024744446865644,-35.20089113431004
-6.024734103070497,-35.200881266337895
-6.024723069065851,-35.20087067998478
-6.024712572453302,-35.20086056584269
-6.024702296233647,-35.200850635567924
-6.024691752894087,-35.200840390340865
-6.024681623084557,-35.200830468995036
-6.024671495346245,-35.20082045966594
-6.0246610251328745,-35.20080999360479
-6.0246520461816875,-35.2008008337531
-6.024640162170809,-35.20079112736695
-6.024631388635231,-35.200780157654
-6.024622829509775,-35.20076858748019
-6.024613102897697,-35.200757056926044
-6.024603724326065,-35.20074670085986
-6.0245943643159485,-35.200735371210264
