x,y
20,19
19,19
18,19
17,19
16,19
15,19
14,19
13,19
12,19
12,18
11,18
10,18
9,18
9,17
9,16
8,16
7,16
7,15
7,14
7,13
7,12
7,11
7,10
7,9
7,8
7,7
